requirement_id,ownership,normative_requirement,story_application,acceptance_ids
ADR-007,PRIMARY,"Every run selects a versioned target-specific Source Profile and exact target candidate before initialization; source bytes receive SHA-256 identity, immutable descriptors, authority/license/privacy metadata, stable specimen IDs, and an aggregate Source Lock.","Apply unchanged to the category-neutral synthetic task definition; conversational and Format 02 clauses are inactive conditional branches.",AC-02;AC-06;AC-08
D005,PRIMARY,"Each run starts from a configured evidence workspace with an exact target candidate and target-specific source profile.","Bind the selected synthetic run to the exact repository-owned target-definition candidate and source profile.",AC-01;AC-02
FR-009,PRIMARY,"Define required, recommended, optional, and prohibited source roles independently for each compilation target and category profile.","Load the versioned synthetic-definition Source Profile with one required governed_task_definition role and explicit prohibitions.",AC-02;AC-10
FR-010,PRIMARY,"Inspect configured paths, archive readability, source type, expected role, and version hints before committing the run to analysis.","Run diagnostics before any run event or Source Lock commit and return actionable typed failures.",AC-03;AC-04;AC-05
FR-011,PRIMARY,"Index approved directory and ZIP sources in place while preserving source immutability and recorded hashes.","Support file, directory, and ZIP inspection without writing, renaming, or extracting into the source location.",AC-04;AC-05
FR-012,PRIMARY,"The exact target candidate resolves to a real accessible directory or another target type explicitly supported by its profile.","The governed profile explicitly supports the repository-relative file candidate and bounded directory/ZIP test variants.",AC-02;AC-03
FR-013,PRIMARY,"Record source identifiers, canonical paths, cryptographic hashes, sizes, timestamps where available, roles, precedence, and authority status in an immutable Source Lock.","Create stable descriptors and a deterministic aggregate Source Lock; changed bytes create a new version and invalidation evidence.",AC-06;AC-07;AC-08
NFR-PORT-001,PRIMARY,"Source profiles use resolvable URIs or paths and support local directories and archives without one machine-specific layout.","Persist repository-relative repo:// identities, never an absolute workstation path, for the governed proof.",AC-02;AC-07
NFR-SEC-001,PRIMARY,"Configured source repositories, archives, and specimens are read-only evidence unless an explicit governed import or migration creates a new copy.","Open inputs read-only, compare pre/post bytes and metadata in tests, and write only to in-memory bounded Story state.",AC-04;AC-08
NFR-SEC-002,PRIMARY,"Prevent archive traversal, unsafe extraction, executable surprise, and unbounded recursive ingestion.","Reject traversal, absolute or duplicate members, symlinks, executables, nested archives, ratio/budget overflow, and excessive recursion/count.",AC-05
