requirement_id,change_type,previous_authority,current_authority,summary,affected_artifacts,status
CONST-PRECEDENCE-001,NEW_AUTHORITY,Delegation V1 local baseline,Constitution 1.1 section 1.1,"Constitution controls Activative and visual meaning; sparse contracts must retain stable rich-object references and frozen versions.","authority pointer; protocol constitution; source register; schemas; specs",mapped
CONST-LINEAGE-001,NEW_REQUIRED_DOMAIN,Partial semantic_intent and activative_intent,Amendment and Constitution sections 1.1 5 and 12,"Require Activative semantic lineage with Identity DNA Context Premise resonance Matrix of Edging evidence and Activative Intelligence Pack lineage.","visual-asset-demand schemas; generated types; authority registry; hashes; fixtures",mapped
CONST-REACTION-001,NEW_LINEAGE_REFERENCE,No Reaction Receipt or Expression Moment demand references,Constitution sections 5.9 5.10 and 12,"Preserve Reaction Receipt and Expression Moment references without drop synthesis or flattening.","demand schema; migration; compatibility validator; fixtures; conformance",human_decision_required
CONST-ACTIVATION-001,NEW_REQUIRED_DOMAIN,activative_intent summary,Constitution sections 4 through 7,"Require edge directions roles stance identity urges reaction participation design and micro-commitment.","demand schema; generated bindings; authority; compatibility; evaluation",mapped
CONST-VISSEM-001,NEW_REQUIRED_DOMAIN,semantic_intent only,Constitution sections 5.11 5.12 and 10.2,"Require recognition intent and carrier audience visual-world references emotional-load carrier and MCDA receipt.","demand schema; generated bindings; authority; compatibility; fixtures",mapped
CONST-VISNAR-001,NEW_REQUIRED_DOMAIN,No typed narrative program,Constitution sections 5.13 and 10.6 through 10.8,"Require pattern match interrupt attention states viewer-role progression prediction payoff affinity and residue.","demand schema; generated bindings; authority; compatibility; fixtures",mapped
CONST-FEATURE-001,NEW_REQUIRED_DOMAIN,No typed feature-contract list,Constitution Law 16 and section 10.9,"Preserve explicit meaning-bearing feature contracts and prove receiver enforcement/evaluation support.","demand schema; compatibility manifest; validator; conformance tests",human_decision_required
CONST-SOMATIC-001,NEW_REQUIRED_DOMAIN,No T/V request,Constitution Law 17 and section 10.10,"Preserve T/V code request and intended body effect without allowing T/V to choose semantic meaning.","demand schema; authority registry; compatibility; fixtures",mapped
CONST-WRONGREAD-001,REQUIREDNESS_STRENGTHENED,Optional wrongness_locks or wrong_reading_locks,Constitution Law 19 and V1.1 demand schema,"Wrong-reading locks are required non-empty and behaviorally enforceable.","demand schemas; examples; validators; compatibility; tests",mapped
FR-011,STRENGTHENED,Generic field-level authority domains,V1.1 F02 FR-011,"Expand the authority map to all constitution-complete semantic lineage visual narrative feature somatic and wrong-reading domains without changing the stable ID.","PRD F02; requirement registries; ownership register; authority matrix; specs",mapped
COMPAT-CONSTITUTION-001,ENFORCEMENT_STRENGTHENED,Required feature-name intersection,V1.1 compatibility law,"Parsing without behavioral enforcement is incompatible; requested activation feature contracts and evaluation profiles must be enforceable.","compatibility schemas; manifests; negotiation logic; engine; tests",human_decision_required
MIGRATION-CONSTITUTION-001,LOSSLESSNESS_STRENGTHENED,Generic deterministic adapter and migration,V1.1 amendment compatibility law,"Migration may rename nest or normalize but cannot drop weaken synthesize flatten or reinterpret constitutional objects and must preserve lineage hashes.","contract-migration; compatibility package; fixtures; tests",mapped
AUTH-CONSTITUTION-001,NEW_CONFORMANCE,VAE cannot produce a demand,V1.1 amendment conformance item 4,"Reject VAE mutation of recognition intent role stance or Visual Narrative Program with no state or production effect.","authority registry; authority tests; protocol tests; SCN-08",mapped
RES-CONSTITUTION-001,NEW_CONFORMANCE,Generic replay and migration resilience,V1.1 amendment conformance item 3,"Replay and migration preserve Activative Intelligence and Expression Moment version/hash lineage.","canonical hash; migration fixtures; resilience cases; SCN-10",mapped
READINESS-CONSTITUTION-001,HARD_GATE_ADDED,V1 GATE-03 and GATE-05,V1.1 readiness hard gates,"Add constitution-complete demand non-empty locks Expression Moment lineage lossless adapter tests and semantic-behavior compatibility proof.","readiness gates; conformance reports; implementation readiness",mapped
VERSION-CONSTITUTION-001,VERSION_SIGNAL_UNRESOLVED,Local package 1.0.0-rc.2 and wire/message 1.0,V1.1 authority and planned package 1.1.0-rc.1,"Authority calls for demand 1.0 to 1.1 migration while supplied manifests still advertise 1.0 and the version policy classifies required fields as major.","version policy; registry; schemas; envelopes; manifests; engine; fixtures",human_decision_required

