gap_id,severity,status,affected_specs,finding,next_action
P4-GAP-001,HIGH,OPEN,TS-INT-001,"Full fault-injection, migration, downstream acknowledgement, revocation and cancellation semantics are not complete.","Implement targeted repository fault injection, legacy-shape migration fixtures, consumption acknowledgement and revocation tests."
P4-GAP-002,HIGH,OPEN,TS-INT-002,"External ASR/diarization, rational timebase normalization, drift correction and selective transcript correction are not implemented.","Add provider-neutral transcript adapters, integer tick conversion, drift receipts and local invalidation."
P4-GAP-003,HIGH,OPEN,TS-INT-003,"Automated shot/transition detection, VFR presentation-order evidence, uncertainty profiles and geometry applicability remain outside the deterministic input-driven core.","Add OmniShotCut-compatible adapter, presentation-frame index, uncertainty records and geometry profile support."
P4-GAP-004,HIGH,OPEN,TS-INT-004,"Complete routeability/quality evaluation, boundary correction and AIR acknowledgement workflows are not implemented.","Add evaluator contracts, boundary-expansion candidates, selective invalidation and AIR handoff acknowledgement."
P4-GAP-005,HIGH,OPEN,TS-INT-005,"Full inventory-entry approval lifecycle, restriction inheritance, consumer acknowledgement, revocation and migration are not implemented.","Add entry-level lifecycle, monotonic restrictions, consumer-scoped acknowledgement and migration tests."
P4-GAP-006,HIGH,OPEN,TS-INT-006,"Real multimodal capture, full outcome corpus, source-tail correction, selective invalidation and historical migration are not implemented.","Add live/imported capture adapters, evaluator corpus, correction/supersession and replay fixtures."
P4-GAP-007,CRITICAL,OPEN,TS-INT-007,"The live-session engine is deterministic foundation only; real IAC resolution, AIR proposal verification, observation-driven state advancement, tenant security, redaction and durable/in-memory conformance are incomplete.","Build the live Interview execution vertical with exact AIR/IAC adapters, observation commands, security and repository conformance."
P4-GAP-008,HIGH,OPEN,ALL,Per-spec direct acceptance evidence is incomplete even where core implementation exists.,Complete criterion-specific tests and issue later per-spec acceptance receipts before claiming full Spec completion.
P4-GAP-009,EXTERNAL,DEFERRED,ALL,"Real human interview evidence, external model/provider execution and production deployment are absent.","Close only with separately authorized real-source, provider and production evidence."
P4-GAP-010,GOVERNANCE,DEFERRED,ALL,Candidate authority remains non-current and no production/certification authority is granted.,Preserve claim ceiling until separate attributable authority receipts exist.
